dim1,dim2,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5
2,5,0.5657939,0.088888496,0.8355274,0.37612265,0.0,0.9999989
2,6,0.018063907,0.48061964,0.08806586,0.6945366,0.0,0.99999666
2,7,0.8607971,0.36486357,0.9322953,0.4941621,0.0,0.99998164
2,8,0.9525777,0.6279518,0.996885,0.7157178,0.0,0.99999964
2,9,0.014685059,0.26166382,0.07707267,0.47360757,0.0,0.999961
2,10,0.72979313,0.4265851,0.8130392,0.5501971,0.0,1.0
2,11,0.011497525,0.8315642,0.039647315,0.93757474,0.0,0.99999666
2,12,0.790386,0.3194539,0.8370184,0.39310068,0.0,0.9999976
2,13,0.52671635,0.50451505,0.734218,0.7728438,0.0,0.99999034
2,14,0.7863458,0.021226566,0.91610205,0.089930415,0.0,0.9999988
2,15,0.804202,0.6511862,0.9939656,0.9844341,0.0,0.9999758
2,16,0.00403778,0.39843938,0.01944744,0.45348322,0.0,0.99996746
2,17,0.9021208,0.73705083,1.0045893,0.82263374,0.0,0.99998105
2,18,-0.00434839,0.2348678,0.15509453,0.5405673,0.0,0.9999777
2,19,0.78142744,0.4348123,0.81119066,0.47779247,0.0,0.9999999
3,0,0.7285484,0.46222988,0.8089734,0.5722159,3.0,0.99986804
3,1,0.650903,0.40763322,0.75234324,0.5073099,2.0,0.99993515
3,2,0.5715874,0.36647308,0.66910744,0.46442983,1.0,0.99988914
3,3,0.5548827,0.29663754,0.72576606,0.38550448,0.0,0.99999976
3,4,0.48684406,0.47408816,0.5832385,0.568597,0.0,0.999998
3,5,0.7609815,0.42750964,0.81506807,0.55951774,0.0,0.9999994
3,6,0.70338315,0.11254741,0.98710644,0.38125813,0.0,0.99995697
3,7,0.7189221,0.35408285,0.80275893,0.45158362,0.0,0.99997294
3,8,0.7228452,0.46426418,0.7402283,0.4930564,0.0,1.0
3,9,0.00026632647,0.01395835,0.002481135,0.06179466,0.0,0.9999391
3,10,0.008170378,0.011109162,0.026776064,0.059093606,0.0,0.9999814
3,11,0.008165806,0.9745622,0.030659184,1.0038048,0.0,0.99999964
3,12,0.9063944,0.57464206,0.9850647,0.66960835,0.0,0.9999993
3,13,0.38090238,0.37368155,0.46681458,0.47442076,0.0,0.99999964
3,14,0.7777123,0.46076453,0.8042408,0.5040246,0.0,0.9999362
3,15,0.0170007,0.91704905,0.05859428,1.0067807,0.0,0.9999906
3,16,0.6569646,0.3874052,0.72072864,0.46866113,0.0,0.99999595
3,17,0.9485231,0.3704335,0.99901855,0.42048448,0.0,0.99999905
3,18,0.97653234,0.7108715,0.9923869,0.7386007,0.0,0.99999774
3,19,0.5845628,0.5411743,0.76018965,0.6933541,0.0,0.9999317
4,0,0.7856827,0.4641899,0.900616,0.63008714,3.0,0.999767
4,1,0.6862854,0.42771897,0.801563,0.58449364,2.0,0.9998313
4,2,0.5590209,0.39933103,0.6646672,0.5470458,1.0,0.999718
4,3,0.97268975,0.37466475,0.9951011,0.40086117,0.0,0.99999917
4,4,0.013006255,-0.012907788,0.17387773,0.3300079,0.0,0.9999987
4,5,0.9754276,0.8172271,0.9941884,0.84984285,0.0,0.9999975
4,6,0.0110191405,0.97792864,0.03864714,1.003804,0.0,0.99999726
4,7,0.971236,0.9537504,0.99108154,1.006589,0.0,0.99999523
4,8,0.848713,0.8651025,0.96186596,1.0233442,0.0,0.99998605
4,9,0.95729506,0.9701771,0.99561614,1.0072823,0.0,0.9999819
4,10,0.009925116,0.8144591,0.092843994,0.9498135,0.0,0.99929416
4,11,0.8767134,0.328439,1.0227876,0.43398467,0.0,0.9999999
4,12,0.32848495,0.48540685,0.40756404,0.59461033,0.0,0.9999877
4,13,0.9793243,0.01115362,1.0002407,0.03204274,0.0,0.9999877
4,14,0.9336581,0.93203175,1.0063434,1.0056169,0.0,0.9999994
4,15,0.9435844,0.693891,0.99135184,0.75310284,0.0,1.0
4,16,0.011825748,0.90363395,0.05035991,1.0021771,0.0,0.9998958
4,17,0.9748377,0.01832162,0.99820334,0.04326324,0.0,0.99998593
4,18,0.9719903,0.35174683,0.9965872,0.374862,0.0,0.99999464
4,19,0.9686556,0.005249936,0.99982524,0.021169176,0.0,0.99992955
5,0,0.67308545,0.36903262,0.79725116,0.51814437,2.0,0.998445
